link,image,title,like,ogrenci
/portal/course/yolov11-ile-bilgisayarli-goru-pratikleri-60314,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/1b8e8a74-c42c-4e67-b9b0-0a7302c3b6ae/646_0x220.png?t=1766995435899,YOLOv11 ile Bilgisayarlı Görü Pratikleri,20,1.008
/portal/course/stm32-ile-gomulu-yazilim-gelistirme-ileri-seviye-59025,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/0588b57e-6484-446f-8929-7f06037af838/506_0x220.png?t=1765265036331,STM32 ile Gömülü Yazılım Geliştirme İleri Seviye,11,531
/portal/course/python-ile-web-api-gelistirme-atolyesi-59515,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/6d25780e-7a0b-4bda-a3f5-cd9e6ecc3227/534_0x220.png?t=1765895348653,Python ile Web API Geliştirme Atölyesi,10,732
/portal/course/platformlarla-yapay-zeka-ajani-gelistirme-59643,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/6e72c9f8-01f0-43b0-87f1-175d741c95a0/528_0x220.png?t=1766495741861,Platformlarla Yapay Zekâ Ajanı Geliştirme,14,1.086
/portal/course/matlab-ile-makine-ogrenmesi-algoritmalari-58868,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/e3b07ae1-4a43-41e4-a9df-bc194196b19f/537_0x220.png?t=1764936923238,MATLAB ile Makine Öğrenmesi Algoritmaları		,11,474
/portal/course/manus-ai-59174,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/69eacfc4-9e26-4b3b-b299-a2985a89ad25/647_0x220.png?t=1765284039143,Manus AI,17,715
/portal/course/guncel-yapay-zeka-uygulamalari-59427,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/15bbd4f0-06b8-47b7-ac00-300c14f02c57/629_0x220.png?t=1765872498672,Güncel Yapay Zekâ Uygulamaları ,13,839
/portal/course/evrisimsel-sinir-aglari-cnn-59853,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/e6e0f39e-d5c3-43a6-8370-f1e7598429c4/545v2_0x220.png?t=1767601347593,Evrişimsel Sinir Ağları (CNN),7,341
/portal/course/c-ile-programlama-59836,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/126a8e6f-7441-4fd4-bcef-73dcad78ea78/571_0x220.png?t=1766559017418,C# ile Programlama,19,880
/portal/course/buyuk-dil-modelleri-llm-ile-sesli-asistan-atolyesi-58679,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/a4dfad61-66e1-495b-a0db-63abbc0a23f8/512v2_0x220.png?t=1767600767983,Büyük Dil Modelleri (LLM) ile Sesli Asistan Atölyesi,14,347
/portal/course/asp-net-ile-web-programlama-60142,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/ce0c9460-7326-45d2-8dc9-9f46fd195193/617_0x220.png?t=1766992223453,ASP.NET ile Web Programlama,8,394
/portal/course/yapay-zeka-uygulamalari-58382,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/7ab5ccea-13ba-4ec9-ba99-bf7b88b7cfa8/628_Portal_0x220.png?t=1764230559721,Yapay Zeka Uygulamaları,39,3.216
